DataSprzedazy,RodzajUbezpieczenia,KwotaSkladki,Region,CzasTrwaniaSprzedazy,PreferowanyKontakt,NowyKlient,SprzedanePolisy,IDSprzedawcy,Kontakt,DecyzjaKlienta
06/14/2023,Majatkowe,448.67,Zachodni,53.00,Telefon,1.00,0.00,15.00,Osobiscie,Nowy klient - odmowa zakupu polisy
06/22/2023,Zyciowe,891.66,Pólnocny,58.00,Email,1.00,0.00,17.00,Telefon,Nowy klient - odmowa zakupu polisy
03/21/2023,Zyciowe,744.85,Zachodni,72.00,Osobiscie,1.00,0.00,1.00,Osobiscie,Nowy klient - odmowa zakupu polisy
04/02/2023,Majatkowe,496.17,Poludniowy,29.00,Osobiscie,0.00,0.00,4.00,Osobiscie,Staly klient - rezygnacja
08/05/2023,Zyciowe,587.37,Zachodni,14.00,Telefon,0.00,1.00,2.00,Osobiscie,Staly klient - zakup polisy
05/02/2023,Majatkowe,916.72,Wschodni,30.00,Email,0.00,1.00,14.00,Email,Staly klient - zakup polisy
06/19/2023,Majatkowe,281.07,Zachodni,77.00,Telefon,0.00,0.00,6.00,Email,Staly klient - rezygnacja
01/04/2023,Zyciowe,874.13,Wschodni,16.00,Email,1.00,1.00,2.00,Osobiscie,Nowy klient - zakup polisy
06/20/2023,Majatkowe,469.65,Pólnocny,12.00,Osobiscie,1.00,1.00,7.00,Telefon,Nowy klient - zakup polisy
04/03/2023,Zyciowe,920.35,Zachodni,9.00,Email,0.00,0.00,9.00,Email,Staly klient - rezygnacja
07/03/2023,Majatkowe,752.26,Poludniowy,5.00,Email,0.00,0.00,13.00,Osobiscie,Staly klient - rezygnacja
02/28/2023,Majatkowe,364.46,Poludniowy,16.00,Telefon,1.00,1.00,18.00,Osobiscie,Nowy klient - zakup polisy
02/21/2023,Zyciowe,523.03,Pólnocny,59.00,Email,0.00,0.00,16.00,Email,Staly klient - rezygnacja
04/26/2023,Zyciowe,799.32,Pólnocny,60.00,Email,1.00,0.00,1.00,Email,Nowy klient - odmowa zakupu polisy
08/04/2023,Zyciowe,807.91,Poludniowy,42.00,Osobiscie,1.00,0.00,19.00,Osobiscie,Nowy klient - odmowa zakupu polisy
06/28/2023,Majatkowe,166.67,Zachodni,40.00,Telefon,1.00,0.00,19.00,Email,Nowy klient - odmowa zakupu polisy
06/28/2023,Zyciowe,565.56,Pólnocny,16.00,Telefon,1.00,1.00,2.00,Telefon,Nowy klient - zakup polisy
04/19/2023,Zyciowe,651.07,Poludniowy,82.00,Telefon,0.00,0.00,6.00,Osobiscie,Staly klient - rezygnacja
05/29/2023,Majatkowe,303.62,Pólnocny,11.00,Telefon,0.00,0.00,12.00,Osobiscie,Staly klient - rezygnacja
01/28/2023,Zyciowe,702.61,Poludniowy,10.00,Osobiscie,0.00,1.00,7.00,Telefon,Staly klient - zakup polisy
02/02/2023,Zyciowe,396.16,Wschodni,61.00,Email,1.00,0.00,1.00,Osobiscie,Nowy klient - odmowa zakupu polisy
01/27/2023,Majatkowe,508.26,Wschodni,24.00,Email,1.00,1.00,4.00,Telefon,Nowy klient - zakup polisy
05/04/2023,Zyciowe,626.81,Poludniowy,15.00,Telefon,0.00,0.00,15.00,Osobiscie,Staly klient - rezygnacja
03/14/2023,Zyciowe,128.87,Poludniowy,43.00,Osobiscie,1.00,1.00,19.00,Email,Nowy klient - odmowa zakupu polisy
04/02/2023,Zyciowe,548.68,Wschodni,18.00,Osobiscie,0.00,1.00,18.00,Telefon,Staly klient - zakup polisy
03/01/2023,Zyciowe,148.79,Pólnocny,17.00,Telefon,0.00,1.00,18.00,Osobiscie,Staly klient - zakup polisy
01/24/2023,Majatkowe,555.36,Poludniowy,10.00,Osobiscie,0.00,1.00,2.00,Email,Staly klient - zakup polisy
05/06/2023,Majatkowe,743.56,Pólnocny,15.00,Telefon,0.00,1.00,9.00,Telefon,Staly klient - zakup polisy
02/21/2023,Majatkowe,726.12,Poludniowy,17.00,Osobiscie,1.00,1.00,18.00,Email,Nowy klient - zakup polisy
02/06/2023,Majatkowe,404.45,Zachodni,13.00,Telefon,0.00,1.00,18.00,Email,Staly klient - zakup polisy
04/30/2023,Majatkowe,313.28,Wschodni,15.00,Email,0.00,0.00,13.00,Email,Staly klient - rezygnacja
01/13/2023,Zyciowe,436.05,Zachodni,23.00,Osobiscie,1.00,1.00,4.00,Email,Nowy klient - zakup polisy
02/23/2023,Zyciowe,819.65,Wschodni,55.00,Telefon,1.00,1.00,17.00,Email,Nowy klient - zakup polisy
01/29/2023,Majatkowe,521.28,Poludniowy,53.00,Osobiscie,0.00,0.00,19.00,Osobiscie,Staly klient - rezygnacja
06/23/2023,Zyciowe,135.06,Wschodni,20.00,Osobiscie,0.00,1.00,7.00,Telefon,Staly klient - zakup polisy
01/13/2023,Majatkowe,535.30,Wschodni,25.00,Osobiscie,1.00,0.00,3.00,Email,Nowy klient - odmowa zakupu polisy
06/26/2023,Majatkowe,395.40,Poludniowy,55.00,Telefon,0.00,1.00,8.00,Osobiscie,Staly klient - rezygnacja
05/03/2023,Majatkowe,586.06,Wschodni,19.00,Osobiscie,1.00,1.00,18.00,Osobiscie,Nowy klient - zakup polisy
11/03/2023,Majatkowe,402.01,Poludniowy,5.00,Osobiscie,0.00,1.00,15.00,Email,Staly klient - zakup polisy
03/23/2023,Zyciowe,333.46,Poludniowy,50.00,Email,1.00,0.00,8.00,Email,Nowy klient - odmowa zakupu polisy
05/29/2023,Majatkowe,709.77,Pólnocny,56.00,Osobiscie,1.00,0.00,19.00,Telefon,Nowy klient - odmowa zakupu polisy
03/14/2023,Zyciowe,829.97,Zachodni,16.00,Telefon,0.00,1.00,2.00,Telefon,Staly klient - zakup polisy
06/19/2023,Zyciowe,989.67,Wschodni,13.00,Osobiscie,0.00,1.00,9.00,Email,Staly klient - zakup polisy
01/04/2023,Majatkowe,742.48,Wschodni,59.00,Email,1.00,1.00,5.00,Osobiscie,Nowy klient - zakup polisy
08/02/2023,Zyciowe,648.00,Zachodni,78.00,Email,0.00,1.00,6.00,Email,Staly klient - rezygnacja
01/06/2023,Majatkowe,735.16,Poludniowy,60.00,Email,1.00,1.00,12.00,Osobiscie,Nowy klient - zakup polisy
06/30/2023,Majatkowe,804.33,Pólnocny,22.00,Email,1.00,1.00,20.00,Email,Nowy klient - zakup polisy
04/16/2023,Zyciowe,795.08,Zachodni,25.00,Telefon,1.00,1.00,14.00,Osobiscie,Nowy klient - zakup polisy
01/29/2023,Majatkowe,599.02,Poludniowy,21.00,Email,1.00,1.00,20.00,Email,Nowy klient - zakup polisy
04/18/2023,Zyciowe,549.26,Zachodni,29.00,Email,1.00,1.00,14.00,Telefon,Nowy klient - zakup polisy
03/19/2023,Majatkowe,438.18,Wschodni,58.00,Email,1.00,1.00,15.00,Email,Nowy klient - zakup polisy
06/19/2023,Majatkowe,216.85,Poludniowy,1.00,Telefon,0.00,1.00,17.00,Telefon,Staly klient - zakup polisy
05/29/2023,Majatkowe,966.18,Poludniowy,60.00,Email,1.00,0.00,13.00,Email,Nowy klient - odmowa zakupu polisy
05/02/2023,Majatkowe,249.82,Wschodni,4.00,Osobiscie,0.00,0.00,17.00,Telefon,Staly klient - rezygnacja
05/22/2023,Zyciowe,105.61,Pólnocny,47.00,Telefon,1.00,0.00,19.00,Telefon,Nowy klient - odmowa zakupu polisy
12/06/2023,Zyciowe,978.92,Zachodni,26.00,Telefon,1.00,1.00,3.00,Osobiscie,Nowy klient - zakup polisy
05/26/2023,Majatkowe,723.79,Wschodni,51.00,Osobiscie,1.00,0.00,17.00,Telefon,Nowy klient - odmowa zakupu polisy
03/31/2023,Majatkowe,534.52,Zachodni,25.00,Email,1.00,1.00,14.00,Osobiscie,Nowy klient - zakup polisy
12/05/2023,Zyciowe,161.12,Wschodni,25.00,Osobiscie,1.00,0.00,3.00,Osobiscie,Nowy klient - odmowa zakupu polisy
04/23/2023,Majatkowe,288.38,Pólnocny,7.00,Email,0.00,1.00,17.00,Email,Staly klient - zakup polisy
03/27/2023,Majatkowe,295.25,Poludniowy,79.00,Telefon,1.00,0.00,6.00,Osobiscie,Nowy klient - odmowa zakupu polisy
05/20/2023,Zyciowe,659.75,Pólnocny,59.00,Email,1.00,0.00,5.00,Email,Nowy klient - odmowa zakupu polisy
04/22/2023,Zyciowe,803.07,Poludniowy,20.00,Email,1.00,1.00,14.00,Telefon,Nowy klient - zakup polisy
02/05/2023,Majatkowe,103.76,Zachodni,52.00,Email,1.00,0.00,8.00,Email,Nowy klient - odmowa zakupu polisy
01/04/2023,Majatkowe,176.64,Wschodni,28.00,Email,1.00,1.00,20.00,Telefon,Nowy klient - zakup polisy
04/06/2023,Majatkowe,753.22,Pólnocny,70.00,Email,0.00,0.00,6.00,Osobiscie,Staly klient - rezygnacja
06/14/2023,Majatkowe,660.23,Pólnocny,58.00,Osobiscie,0.00,0.00,8.00,Email,Staly klient - rezygnacja
01/19/2023,Zyciowe,892.01,Poludniowy,52.00,Telefon,1.00,0.00,12.00,Email,Nowy klient - odmowa zakupu polisy
04/14/2023,Majatkowe,571.24,Poludniowy,60.00,Telefon,1.00,0.00,15.00,Telefon,Nowy klient - odmowa zakupu polisy
09/05/2023,Majatkowe,841.48,Poludniowy,67.00,Osobiscie,0.00,0.00,1.00,Osobiscie,Staly klient - rezygnacja
05/29/2023,Majatkowe,186.32,Zachodni,48.00,Osobiscie,1.00,1.00,19.00,Email,Nowy klient - odmowa zakupu polisy
05/18/2023,Zyciowe,515.62,Poludniowy,84.00,Email,0.00,0.00,6.00,Osobiscie,Staly klient - rezygnacja
10/06/2023,Majatkowe,871.92,Zachodni,11.00,Email,0.00,0.00,12.00,Osobiscie,Staly klient - rezygnacja
04/29/2023,Majatkowe,786.02,Pólnocny,42.00,Telefon,1.00,1.00,19.00,Osobiscie,Nowy klient - odmowa zakupu polisy
01/28/2023,Majatkowe,109.94,Wschodni,12.00,Telefon,0.00,1.00,2.00,Telefon,Staly klient - zakup polisy
03/06/2023,Zyciowe,812.12,Poludniowy,8.00,Telefon,0.00,0.00,5.00,Osobiscie,Staly klient - rezygnacja
01/19/2023,Majatkowe,504.82,Pólnocny,25.00,Osobiscie,1.00,1.00,14.00,Telefon,Nowy klient - zakup polisy
09/06/2023,Majatkowe,227.29,Pólnocny,54.00,Osobiscie,1.00,0.00,15.00,Email,Nowy klient - odmowa zakupu polisy
01/16/2023,Majatkowe,765.11,Poludniowy,24.00,Osobiscie,0.00,1.00,14.00,Email,Staly klient - zakup polisy
05/25/2023,Zyciowe,121.02,Zachodni,13.00,Email,0.00,1.00,9.00,Osobiscie,Staly klient - zakup polisy
02/20/2023,Zyciowe,859.47,Wschodni,59.00,Osobiscie,1.00,1.00,15.00,Osobiscie,Nowy klient - zakup polisy
04/25/2023,Zyciowe,147.96,Wschodni,40.00,Osobiscie,1.00,0.00,19.00,Telefon,Nowy klient - odmowa zakupu polisy
06/27/2023,Zyciowe,777.78,Poludniowy,57.00,Email,1.00,0.00,17.00,Telefon,Nowy klient - odmowa zakupu polisy
01/30/2023,Majatkowe,182.27,Zachodni,89.00,Osobiscie,0.00,0.00,1.00,Email,Staly klient - rezygnacja
05/17/2023,Zyciowe,274.56,Poludniowy,12.00,Email,0.00,0.00,13.00,Osobiscie,Staly klient - rezygnacja
02/14/2023,Majatkowe,296.31,Pólnocny,10.00,Telefon,0.00,0.00,15.00,Osobiscie,Staly klient - rezygnacja
06/29/2023,Majatkowe,490.21,Wschodni,19.00,Email,1.00,1.00,2.00,Telefon,Nowy klient - zakup polisy
12/03/2023,Majatkowe,986.74,Wschodni,25.00,Email,1.00,1.00,3.00,Email,Nowy klient - zakup polisy
06/16/2023,Zyciowe,812.50,Wschodni,56.00,Telefon,1.00,0.00,10.00,Email,Nowy klient - odmowa zakupu polisy
02/16/2023,Majatkowe,311.58,Poludniowy,50.00,Email,1.00,1.00,13.00,Osobiscie,Nowy klient - zakup polisy
09/03/2023,Majatkowe,542.98,Poludniowy,40.00,Telefon,1.00,0.00,19.00,Email,Nowy klient - odmowa zakupu polisy
03/18/2023,Zyciowe,364.19,Pólnocny,13.00,Osobiscie,0.00,1.00,2.00,Telefon,Staly klient - zakup polisy
02/19/2023,Majatkowe,931.46,Wschodni,60.00,Telefon,1.00,0.00,15.00,Email,Nowy klient - odmowa zakupu polisy
03/23/2023,Majatkowe,975.57,Wschodni,10.00,Osobiscie,0.00,1.00,18.00,Email,Staly klient - zakup polisy
04/27/2023,Zyciowe,350.34,Zachodni,10.00,Osobiscie,0.00,1.00,2.00,Email,Staly klient - zakup polisy
01/01/2023,Zyciowe,678.65,Pólnocny,50.00,Email,1.00,1.00,12.00,Telefon,Nowy klient - zakup polisy
01/17/2023,Majatkowe,293.79,Poludniowy,64.00,Osobiscie,0.00,0.00,1.00,Email,Staly klient - rezygnacja
01/23/2023,Zyciowe,240.96,Zachodni,55.00,Telefon,1.00,0.00,17.00,Osobiscie,Nowy klient - odmowa zakupu polisy
04/02/2023,Majatkowe,725.02,Wschodni,45.00,Osobiscie,0.00,0.00,16.00,Email,Staly klient - rezygnacja
02/17/2023,Zyciowe,354.36,Zachodni,22.00,Osobiscie,0.00,1.00,4.00,Telefon,Staly klient - zakup polisy
02/03/2023,Majatkowe,423.24,Zachodni,43.00,Telefon,1.00,0.00,10.00,Email,Nowy klient - odmowa zakupu polisy
03/21/2023,Majatkowe,387.69,Poludniowy,24.00,Telefon,1.00,1.00,14.00,Osobiscie,Nowy klient - zakup polisy
01/15/2023,Zyciowe,600.20,Zachodni,40.00,Osobiscie,1.00,0.00,19.00,Telefon,Nowy klient - odmowa zakupu polisy
05/29/2023,Majatkowe,825.85,Pólnocny,22.00,Osobiscie,1.00,1.00,20.00,Email,Nowy klient - zakup polisy
02/18/2023,Zyciowe,581.83,Zachodni,45.00,Osobiscie,0.00,1.00,10.00,Osobiscie,Staly klient - rezygnacja
01/16/2023,Zyciowe,290.76,Wschodni,28.00,Osobiscie,1.00,1.00,4.00,Osobiscie,Nowy klient - zakup polisy
06/14/2023,Zyciowe,387.57,Poludniowy,63.00,Email,0.00,1.00,6.00,Osobiscie,Staly klient - rezygnacja
02/19/2023,Majatkowe,158.11,Wschodni,54.00,Telefon,0.00,0.00,16.00,Osobiscie,Staly klient - rezygnacja
04/16/2023,Majatkowe,621.94,Pólnocny,7.00,Telefon,0.00,0.00,13.00,Email,Staly klient - rezygnacja
05/19/2023,Majatkowe,769.21,Zachodni,10.00,Osobiscie,0.00,1.00,18.00,Osobiscie,Staly klient - zakup polisy
05/04/2023,Zyciowe,822.37,Poludniowy,10.00,Email,0.00,1.00,9.00,Osobiscie,Staly klient - zakup polisy
03/18/2023,Zyciowe,266.75,Zachodni,19.00,Email,1.00,1.00,7.00,Osobiscie,Nowy klient - zakup polisy
05/26/2023,Majatkowe,134.88,Zachodni,16.00,Telefon,1.00,1.00,18.00,Email,Nowy klient - zakup polisy
01/27/2023,Zyciowe,837.38,Poludniowy,9.00,Email,0.00,1.00,17.00,Osobiscie,Staly klient - zakup polisy
06/30/2023,Majatkowe,333.50,Pólnocny,4.00,Telefon,0.00,0.00,17.00,Email,Staly klient - rezygnacja
05/19/2023,Majatkowe,548.12,Zachodni,76.00,Telefon,1.00,0.00,6.00,Osobiscie,Nowy klient - odmowa zakupu polisy
02/02/2023,Majatkowe,254.70,Poludniowy,20.00,Telefon,0.00,1.00,2.00,Telefon,Staly klient - zakup polisy
01/15/2023,Zyciowe,809.10,Poludniowy,16.00,Telefon,1.00,1.00,18.00,Email,Nowy klient - zakup polisy
10/02/2023,Majatkowe,186.51,Zachodni,11.00,Telefon,1.00,1.00,7.00,Osobiscie,Nowy klient - zakup polisy
06/20/2023,Majatkowe,996.72,Pólnocny,40.00,Telefon,0.00,0.00,16.00,Osobiscie,Staly klient - rezygnacja
12/05/2023,Zyciowe,280.22,Wschodni,25.00,Osobiscie,0.00,1.00,14.00,Email,Staly klient - zakup polisy
03/14/2023,Zyciowe,167.83,Wschodni,26.00,Email,1.00,1.00,3.00,Osobiscie,Nowy klient - zakup polisy
06/24/2023,Majatkowe,242.10,Wschodni,16.00,Osobiscie,1.00,1.00,7.00,Email,Nowy klient - zakup polisy
03/26/2023,Majatkowe,819.61,Pólnocny,12.00,Telefon,1.00,1.00,2.00,Email,Nowy klient - zakup polisy
01/26/2023,Majatkowe,328.66,Pólnocny,55.00,Telefon,1.00,0.00,5.00,Email,Nowy klient - odmowa zakupu polisy
04/03/2023,Zyciowe,316.24,Zachodni,49.00,Telefon,0.00,0.00,8.00,Telefon,Staly klient - rezygnacja
06/03/2023,Majatkowe,812.85,Zachodni,60.00,Telefon,1.00,1.00,15.00,Telefon,Nowy klient - zakup polisy
02/14/2023,Zyciowe,514.17,Pólnocny,44.00,Osobiscie,0.00,0.00,16.00,Osobiscie,Staly klient - rezygnacja
01/27/2023,Zyciowe,848.71,Poludniowy,50.00,Telefon,1.00,1.00,13.00,Osobiscie,Nowy klient - zakup polisy
04/15/2023,Majatkowe,860.40,Poludniowy,30.00,Telefon,0.00,1.00,20.00,Email,Staly klient - zakup polisy
06/05/2023,Zyciowe,660.04,Wschodni,59.00,Email,1.00,0.00,5.00,Email,Nowy klient - odmowa zakupu polisy
08/01/2023,Zyciowe,804.45,Zachodni,23.00,Telefon,1.00,1.00,3.00,Telefon,Nowy klient - zakup polisy
06/26/2023,Majatkowe,539.69,Poludniowy,46.00,Email,1.00,0.00,10.00,Telefon,Nowy klient - odmowa zakupu polisy
10/01/2023,Majatkowe,540.60,Zachodni,2.00,Email,0.00,0.00,5.00,Email,Staly klient - rezygnacja
04/19/2023,Majatkowe,288.92,Wschodni,57.00,Osobiscie,1.00,1.00,5.00,Email,Nowy klient - zakup polisy
11/01/2023,Zyciowe,650.68,Poludniowy,45.00,Email,1.00,0.00,16.00,Telefon,Nowy klient - odmowa zakupu polisy
03/20/2023,Majatkowe,624.18,Zachodni,79.00,Email,1.00,0.00,1.00,Email,Nowy klient - odmowa zakupu polisy
06/20/2023,Majatkowe,475.09,Pólnocny,56.00,Osobiscie,1.00,1.00,12.00,Osobiscie,Nowy klient - zakup polisy
03/15/2023,Majatkowe,284.95,Poludniowy,79.00,Telefon,0.00,1.00,6.00,Osobiscie,Staly klient - rezygnacja
02/16/2023,Majatkowe,874.27,Pólnocny,88.00,Osobiscie,1.00,0.00,6.00,Osobiscie,Nowy klient - odmowa zakupu polisy
02/24/2023,Zyciowe,948.57,Wschodni,79.00,Email,1.00,0.00,11.00,Email,Nowy klient - odmowa zakupu polisy
04/01/2023,Zyciowe,459.76,Pólnocny,11.00,Osobiscie,0.00,1.00,2.00,Telefon,Staly klient - zakup polisy
05/01/2023,Zyciowe,981.35,Pólnocny,42.00,Email,1.00,0.00,16.00,Osobiscie,Nowy klient - odmowa zakupu polisy
08/01/2023,Majatkowe,662.84,Pólnocny,47.00,Telefon,1.00,0.00,8.00,Email,Nowy klient - odmowa zakupu polisy
10/02/2023,Zyciowe,640.98,Poludniowy,59.00,Email,1.00,1.00,12.00,Telefon,Nowy klient - zakup polisy
02/03/2023,Majatkowe,103.31,Wschodni,18.00,Telefon,0.00,1.00,7.00,Email,Staly klient - zakup polisy
10/05/2023,Majatkowe,793.15,Zachodni,40.00,Telefon,1.00,0.00,19.00,Email,Nowy klient - odmowa zakupu polisy
01/23/2023,Zyciowe,328.64,Wschodni,52.00,Osobiscie,0.00,0.00,10.00,Telefon,Staly klient - rezygnacja
03/29/2023,Majatkowe,248.36,Zachodni,44.00,Osobiscie,0.00,0.00,10.00,Telefon,Staly klient - rezygnacja
01/22/2023,Majatkowe,444.57,Pólnocny,24.00,Telefon,0.00,1.00,20.00,Osobiscie,Staly klient - zakup polisy
06/05/2023,Majatkowe,477.45,Wschodni,20.00,Osobiscie,1.00,1.00,20.00,Email,Nowy klient - zakup polisy
01/15/2023,Majatkowe,208.64,Wschodni,75.00,Email,0.00,1.00,11.00,Osobiscie,Staly klient - rezygnacja
01/19/2023,Zyciowe,272.92,Wschodni,28.00,Telefon,1.00,1.00,14.00,Telefon,Nowy klient - zakup polisy
